央视频道,#genre#
CCTV-1高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-1高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-2高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-2高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-3高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-4高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-5高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5+高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-5+高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-6高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV-6高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV-7高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-7高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-8高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-8高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-9高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-9高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-10高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-10高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-11高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-11高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-12高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-13高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-13高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-14高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-15高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-15高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-17高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV-17高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV 4K,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CCTV 4K,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CGTN,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
CGTN,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
卫视频道,#genre#
湖南卫视高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
湖南卫视高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
东方卫视高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
东方卫视高清,http://221.230.141.252/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
黑龙江卫视高清,http://111.48.79.174/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8
